,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
19,0.4404,0.0,0.868,0.132,BBC,❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampxOV5ur,2018-10-03 16:55:01+00:00,20
18,0.5411,0.0,0.851,0.149,BBC,RT @BBCnireland: ✍ @BBCApprentice is back tonight on @BBCOne so here are some tips to get you hired! - https://t.co/gc5KSIFQf1 https://t.co…,2018-10-03 17:03:42+00:00,19
17,0.0,0.0,1.0,0.0,BBC,🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to,2018-10-03 17:59:01+00:00,18
16,0.4939,0.0,0.819,0.181,BBC,"The search for Lord Sugar's next business partner begins, and this year the challenges are bigger and better than e… https://t.co/El1AyC5sXs",2018-10-03 19:04:04+00:00,17
15,-0.5994,0.231,0.769,0.0,BBC,"3 homeless people die every week in the UK.
Meanwhile in Finland...

(via @BBCThree) https://t.co/P4MYjbE4d1",2018-10-04 06:03:01+00:00,16
14,-0.2263,0.172,0.651,0.177,BBC,"🥗 Eating a Mediterranean diet may help prevent depression, research suggests.
👉 https://t.co/FIpHPRQHqV https://t.co/tl4BbDsxUa",2018-10-04 07:03:02+00:00,15
13,0.4939,0.0,0.789,0.211,BBC,"🐬 A dolphin with a prosthetic tail inspired Ellie’s Paralympic journey.

#OurBluePlanet w/ @oceanx https://t.co/WtUfOh4W2Z",2018-10-04 08:00:04+00:00,14
12,0.0,0.0,1.0,0.0,BBC,Could this squat be a moment that sparks change? https://t.co/GFXOeWufHl,2018-10-04 10:26:38+00:00,13
11,0.1759,0.206,0.546,0.248,BBC,"The pika might just be the world's cutest thief! 
#WorldAnimalDay https://t.co/v8dSKoVYgD",2018-10-04 10:45:47+00:00,12
10,0.0,0.0,1.0,0.0,BBC,"Ever heard a beatboxing starling? 🔊🔊
#WorldAnimalDay https://t.co/N758EN4j3s",2018-10-04 11:13:01+00:00,11
9,0.4404,0.0,0.813,0.187,BBC,"RT @BBCEarth: This #WorldAnimalDay, we’re giving you an exclusive first look at David Attenborough’s new series.

#Dynasties - Coming soon…",2018-10-04 11:28:10+00:00,10
8,-0.25,0.357,0.429,0.214,BBC,Are you feeling lonely? https://t.co/HxqBp6oh17,2018-10-04 12:02:05+00:00,9
7,0.1531,0.0,0.89,0.11,BBC,"🌡🌍 What does 1.5C mean in a warming world?
👉 https://t.co/XzjY5M8oNl https://t.co/kMLXVnvjxm",2018-10-04 13:03:03+00:00,8
6,0.0,0.0,1.0,0.0,BBC,"How did Shakespeare invent all those clichés? And how can he be stopped?! 🤔
#NationalPoetryDay  https://t.co/sCmnhZiv4G",2018-10-04 14:01:23+00:00,7
5,-0.4588,0.242,0.67,0.088,BBC,"RT @BBCWales: Forget the lies and the myths about growing up on an estate. 

#NationalPoetryDay

https://t.co/HPKwfqx7bq",2018-10-04 15:29:47+00:00,6
4,0.4215,0.0,0.714,0.286,BBC,"Maya Angelou: prolific, powerful, and a polymath. 
#BlackHistoryMonth https://t.co/99z0ppyKYK",2018-10-04 16:03:07+00:00,5
3,-0.6124,0.25,0.654,0.096,BBC,"🥓 Regularly eating foods like bacon and sausages may raise the risk of breast cancer, according to researchers.
👉… https://t.co/drh72r7tDj",2018-10-04 17:11:06+00:00,4
2,0.0,0.0,1.0,0.0,BBC,"This is how homophobia feels in 2018. 
#NationalPoetryDay https://t.co/Dk2F3dDLPl",2018-10-04 18:01:09+00:00,3
1,-0.5209,0.218,0.684,0.097,BBC,"Could the power of fake pills be used to treat some of our most common medical complaints? 💊

#Horizon The Placebo… https://t.co/R3YMojVEYu",2018-10-04 19:01:08+00:00,2
0,0.0,0.0,1.0,0.0,BBC,"🎶 @BTS_twt is the #KPop band taking over the world and smashing records everywhere. 

Who are they and how did they… https://t.co/SSFjTKFAjU",2018-10-04 20:06:04+00:00,1
