,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
99,0.0,0.0,1.0,0.0,CBS,"RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",2018-08-05 23:41:21+00:00,100
98,0.8316,0.0,0.694,0.306,CBS,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",2018-08-05 23:44:39+00:00,99
97,0.0,0.0,1.0,0.0,CBS,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",2018-08-05 23:58:41+00:00,98
96,0.5093,0.0,0.859,0.141,CBS,That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8,2018-08-06 00:02:02+00:00,97
95,0.3818,0.0,0.894,0.106,CBS,RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…,2018-08-06 00:02:58+00:00,96
94,0.7424,0.082,0.617,0.3,CBS,RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP,2018-08-06 00:07:38+00:00,95
93,0.3612,0.0,0.889,0.111,CBS,"RT @cbsallaccess: Executive Producer of Tell Me A Story, @kevwilliamson, says ""What I like about the show, there’s nothing else on TV like…",2018-08-06 00:20:55+00:00,94
92,0.0,0.0,1.0,0.0,CBS,The Executive Producers of @CBSBigBrother are teaming up with @KingJames and @MavCarter for an unprecedented televi… https://t.co/V88bDeHmQs,2018-08-07 16:06:57+00:00,93
91,0.6696,0.0,0.791,0.209,CBS,"Love is in the air, and the water! International smash hit #LoveIsland is coming to CBS. https://t.co/nepabuNoSU https://t.co/Cxgvkv463u",2018-08-08 16:05:11+00:00,92
90,0.7901,0.0,0.72,0.28,CBS,Time to celebrate! Your favorite Daytime shows will premiere with new seasons this fall. See all of the @CBSDaytime… https://t.co/GNkK4Zf2kD,2018-08-09 18:47:00+00:00,91
89,0.6696,0.0,0.745,0.255,CBS,Want to create your own @CBSBigBrother or @TKOCBS meme using one the photos here? It’s your lucky day! Head over to… https://t.co/JHJWykNkQT,2018-08-09 21:00:00+00:00,90
88,0.0,0.0,1.0,0.0,CBS,"RT @TrueCrimeCBS: When Glenn Walp and Steve Doran uncovered theft at the Los Alamos National Laboratory, they HAD to blow their whistles. W…",2018-08-10 19:59:14+00:00,89
87,0.8957,0.0,0.581,0.419,CBS,"To celebrate the 100th PGA Championship, relive some of the tournament's greatest moments with Luke Wilson. 

Don't… https://t.co/wUuB93smr4",2018-08-10 22:28:55+00:00,88
86,0.4926,0.0,0.856,0.144,CBS,The 100th PGA Championship continues today! Stream it LIVE on @cbsallaccess at 2PM ET across all devices. Try 1 Wee… https://t.co/jbMg06eOND,2018-08-11 15:00:02+00:00,87
85,-0.3182,0.103,0.897,0.0,CBS,The fortune teller you’ll meet this Saturday lived a life of luxury... by scamming her victims out of hundreds of t… https://t.co/fJo6F2Eo5p,2018-08-11 18:00:00+00:00,86
