,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
99,0.0,0.0,1.0,0.0,The New York Times,A statement issued by the White House around 2:30 a.m. ET said the FBI had completed its work. “With this additiona… https://t.co/4fgITDQ77q,2018-10-04 07:06:20+00:00,100
98,0.0,0.0,1.0,0.0,The New York Times,A small lander from Japan's Hayabusa2 spacecraft has touched down on the Ryugu asteroid and it's starting to send b… https://t.co/YKnCQwWSZb,2018-10-04 07:15:04+00:00,99
97,0.5106,0.0,0.87,0.13,The New York Times,RT @peterbakernyt: White House transmits FBI interviews to the Senate in the middle of the night and expresses confidence that nothing in t…,2018-10-04 07:16:14+00:00,98
96,0.4404,0.0,0.822,0.178,The New York Times,"“Stripping her of her honorary citizenship may not make a tangible difference to her, but it sends an important sym… https://t.co/WYnX7vVzyF",2018-10-04 07:30:05+00:00,97
95,0.0,0.0,1.0,0.0,The New York Times,"In an opinion piece in The Washington Post, written as a letter to Dr. Blasey Ford, Connie Chung said that she was… https://t.co/gWxpCHCoSn",2018-10-04 07:45:07+00:00,96
94,-0.7003,0.28,0.647,0.073,The New York Times,"After 3 months on the run, a notorious French armed robber who made a cinematic escape by helicopter from a prison… https://t.co/tTrhurtSJd",2018-10-04 08:00:13+00:00,95
93,0.0,0.0,1.0,0.0,The New York Times,President Trump has sold himself as a self-made billionaire but our investigation found that he received more than… https://t.co/4SRFVI5OHU,2018-10-04 08:15:06+00:00,94
92,0.0,0.0,1.0,0.0,The New York Times,2 Democratic senators are calling on federal regulators to investigate whether children’s apps improperly collect p… https://t.co/ejbthemQWG,2018-10-04 08:30:02+00:00,93
91,0.0,0.0,1.0,0.0,The New York Times,Iraq's new leaders suggest that the nation could finally be edging away from the sect- and party-based system that… https://t.co/SoBhcCpu64,2018-10-04 08:45:03+00:00,92
90,-0.2382,0.199,0.693,0.109,The New York Times,"Alberto Fujimori, the former Peruvian dictator imprisoned for human rights abuses but then pardoned last year, was… https://t.co/G6rPGPLXrP",2018-10-04 09:00:09+00:00,91
89,0.3804,0.0,0.88,0.12,The New York Times,"This bottle of whisky is ""one of the rarest and most desirable bottles ever produced,"" according to a specialist. I… https://t.co/xfyBlHuAow",2018-10-04 09:15:04+00:00,90
88,-0.5927,0.203,0.797,0.0,The New York Times,RT @nytimesworld: Pope Francis says he wants to hear the doubts and criticisms of youth at a new Synod of Bishops. But critics say he has n…,2018-10-04 09:31:02+00:00,89
87,0.0,0.0,1.0,0.0,The New York Times,"Nobody lives in this penthouse apartment, but you may have seen it in your Instagram feed https://t.co/DAhLgsCIYW",2018-10-04 09:59:55+00:00,88
86,0.5106,0.0,0.858,0.142,The New York Times,"Q texture is to Taiwanese what umami is to Japanese and al dente is to Italians — that is, cherished and essential https://t.co/JJFACs3DyG",2018-10-04 10:10:06+00:00,87
85,0.0,0.0,1.0,0.0,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/cWQiBqFbJi,2018-10-04 10:20:08+00:00,86
84,0.3182,0.092,0.723,0.185,The New York Times,Theresa May promised an end to the program of austerity measures that contributed to the surprise loss of the Conse… https://t.co/fexRSsx3sA,2018-10-04 10:30:06+00:00,85
83,0.0,0.0,1.0,0.0,The New York Times,"A statement issued by the White House around 2:30 a.m. ET said the FBI had completed its work. ""With this additiona… https://t.co/ySDOx4tuLi",2018-10-04 10:45:08+00:00,84
82,0.0,0.0,1.0,0.0,The New York Times,The FBI's Kavanaugh investigation https://t.co/PkMSt3SO8u https://t.co/lq5f0oXYZl,2018-10-04 11:00:14+00:00,83
81,0.0,0.0,1.0,0.0,The New York Times,Our investigation revealed that Donald Trump received the equivalent today of at least $413 million from his father… https://t.co/wDdPiUQy1O,2018-10-04 11:15:06+00:00,82
80,-0.5106,0.171,0.829,0.0,The New York Times,"""The president insulted our country, our prime minister and even our chief negotiator,"" a former Canadian ambassado… https://t.co/3wH4kdBBZU",2018-10-04 11:30:05+00:00,81
79,0.0,0.0,1.0,0.0,The New York Times,A small army of African-American women across the South is using networks originally forged in segregation to muste… https://t.co/HlRkw2AUlY,2018-10-04 11:46:04+00:00,80
78,-0.5994,0.24,0.687,0.073,The New York Times,"Your daily @DealBook Briefing:

• eBay accuses Amazon of illegally trying to steal sellers

• How China is said to… https://t.co/6W1ukC1jzu",2018-10-04 12:05:04+00:00,79
77,0.3612,0.0,0.872,0.128,The New York Times,"RT @hkbeech: In Petobo, the earth churned as in a blender and people rode their houses like boats https://t.co/rRHuCo5cBT",2018-10-04 12:15:06+00:00,78
76,-0.3818,0.167,0.732,0.102,The New York Times,"A white mob rampaged through a wealthy black business district in Tulsa in 1921, in a spate of violence that left u… https://t.co/IBegxKtnbQ",2018-10-04 12:30:04+00:00,77
75,0.0,0.0,1.0,0.0,The New York Times,"RT @stavernise: The last time half of eligible voters showed up in a midterm was 1914. Here is why.
https://t.co/8iYE3r1ix6",2018-10-04 12:44:02+00:00,76
74,0.0,0.0,1.0,0.0,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/v1iATGfjEm,2018-10-04 13:00:09+00:00,75
73,0.0772,0.0,0.929,0.071,The New York Times,"On Wednesday, some Senate Republicans were stepping up their efforts to challenge the credibility of Dr. Christine… https://t.co/JT61eZgxG7",2018-10-04 13:11:03+00:00,74
72,0.1354,0.085,0.806,0.109,The New York Times,"Trump has insisted that his father provided almost no financial help.

Our investigation, based on a trove of tax r… https://t.co/c2h6iiHS5a",2018-10-04 13:14:43+00:00,73
71,0.0,0.0,1.0,0.0,The New York Times,"The most famous faces of the ’90s returned to the runways, bike shorts are here to stay — and the beach was every d… https://t.co/TwGULOxKmp",2018-10-04 13:22:05+00:00,72
70,0.0,0.0,1.0,0.0,The New York Times,"""Too often, when 'alternative medicine' is used instead of standard medical treatments, it delays the use of remedi… https://t.co/t8xD9NeSzW",2018-10-04 13:30:16+00:00,71
69,-0.34,0.118,0.882,0.0,The New York Times,Jimmy Kimmel's show paused multiple times as an alarm blared and faux presidential alerts flashed across the screen… https://t.co/Ioxsw7BWje,2018-10-04 13:44:02+00:00,70
68,0.0,0.0,1.0,0.0,The New York Times,"RT @mikiebarb: On today’s Daily: the meaning and scope of the FBI investigation into Kavanaugh, which Senators will review this morning — a…",2018-10-04 14:00:10+00:00,69
67,-0.8957,0.41,0.59,0.0,The New York Times,"RT @MarkLandler: Tensions with China are about to get worse: Mike Pence to deliver a blistering assault on Chinese aggression, predatory lo…",2018-10-04 14:15:07+00:00,68
66,0.0,0.0,1.0,0.0,The New York Times,"In a video, Emmanuel Macron was seen as lecturing an out-of-work gardener to look harder for a job. ""If I crossed t… https://t.co/AENktC7iSM",2018-10-04 14:30:13+00:00,67
65,-0.5106,0.187,0.739,0.074,The New York Times,"Breaking News: Russian officers launched cyberattacks on inquiries into Russian doping, an ex-spy’s poisoning and t… https://t.co/SlJLclQyXO",2018-10-04 14:31:06+00:00,66
64,0.128,0.131,0.717,0.152,The New York Times,RT @ScottShaneNYT: 1/ Here's a remarkable update to the reconstruction of the Russian 2016 election attack I wrote with @MarkMazzettiNYT tw…,2018-10-04 14:33:50+00:00,65
63,0.0,0.0,1.0,0.0,The New York Times,"RT @ScottShaneNYT: 2/ Turns out that on December 19, 2016, the day the Electoral College confirmed Trump's victory, one of the Internet Res…",2018-10-04 14:34:10+00:00,64
